Airline,Source,Destination,Total_Stops,Price,Duration(minute),Month_of_Journey,Day_of_Journey,Season,Time_of_Day,Flight_Duration_Category,Dep_Hour,Arr_Hour,Dep_Minute,Arr_Minute
3,1,4,0,3540.0,145,6,21,1,3,2,5,7,15,40
8,0,2,0,3257.0,160,5,15,0,3,2,5,8,55,35
4,0,2,0,6478.0,180,6,3,1,1,2,19,22,50,50
4,4,3,0,8040.0,85,6,18,1,2,2,7,8,5,30
4,2,1,2,14300.0,995,6,12,1,1,0,20,12,0,35
4,3,0,1,14781.0,740,5,15,0,2,0,8,20,25,45
4,3,0,1,14939.0,735,6,9,1,1,0,20,8,0,15
4,2,1,1,10262.0,450,6,24,1,1,1,20,4,55,25
1,3,0,1,6528.0,1440,5,12,0,0,0,14,14,35,35
1,0,2,0,6121.0,165,5,1,0,2,2,6,8,10,55
4,2,1,2,13029.0,535,5,18,0,1,1,19,4,30,25
6,2,1,1,11421.0,430,3,27,0,2,1,11,18,40,50
6,2,1,1,7574.0,870,3,27,0,3,0,4,19,45,15
1,2,1,2,11596.0,1820,5,9,0,0,0,12,19,55,15
4,2,1,2,15129.0,1195,5,24,0,3,0,23,19,5,0
4,0,5,1,13555.0,900,3,18,0,0,0,14,5,5,5
3,0,2,0,5780.0,175,4,12,0,1,2,18,21,55,50
10,3,0,1,9397.0,765,5,12,0,1,0,20,9,20,5
4,2,1,1,17024.0,610,3,6,0,1,0,18,4,15,25
2,2,1,1,5281.0,355,6,27,1,2,1,7,12,0,55
6,2,1,1,10348.0,925,5,18,0,2,0,7,22,5,30
1,2,1,1,12677.0,965,3,6,0,0,0,17,9,20,25
6,2,1,1,15147.0,610,3,3,0,0,0,15,1,25,35
10,0,2,0,4668.0,160,6,12,1,2,2,7,9,0,40
4,2,1,1,15554.0,715,5,9,0,2,0,7,19,5,0
8,0,2,0,3971.0,160,4,9,0,3,2,5,8,55,35
1,4,3,0,3100.0,85,5,3,0,0,2,15,16,0,25
4,3,0,1,9663.0,845,5,6,0,1,0,20,10,0,5
1,2,1,1,27430.0,1215,3,1,0,3,0,23,19,0,15
3,1,4,0,3540.0,145,5,12,0,3,2,5,7,15,40
1,3,0,2,10676.0,1390,5,21,0,0,0,12,11,0,10
4,3,0,1,13044.0,1090,6,12,1,0,0,14,8,5,15
4,3,0,1,14388.0,960,5,6,0,1,0,20,12,0,0
3,0,2,0,3943.0,170,6,24,1,3,2,4,6,0,50
3,1,4,0,3597.0,140,6,3,1,0,2,14,17,45,5
1,0,5,1,5932.0,480,3,21,0,2,1,11,19,50,50
4,2,1,1,10262.0,1015,6,15,1,2,0,11,4,30,25
10,2,1,0,6216.0,190,5,12,0,0,2,14,17,40,50
3,3,0,0,4804.0,165,6,15,1,1,2,20,23,25,10
6,2,1,1,14067.0,840,5,21,0,2,0,11,1,30,30
4,2,1,2,15129.0,1430,5,18,0,1,0,19,19,10,0
4,2,1,2,13376.0,1300,6,6,1,2,0,6,4,45,25
1,2,1,2,10441.0,1275,6,27,1,3,0,22,19,0,15
4,0,2,0,4030.0,165,5,24,0,2,2,6,8,0,45
4,2,1,1,17024.0,650,3,3,0,2,0,8,18,0,50
6,2,1,1,13017.0,480,4,9,0,0,1,17,1,30,30
2,3,0,1,6686.0,495,6,6,1,3,1,23,7,30,45
3,2,1,1,5636.0,325,6,15,1,3,1,2,7,0,25
3,2,1,1,6442.0,515,6,9,1,2,1,7,16,35,10
6,2,1,1,9486.0,710,5,21,0,0,0,13,0,5,55
4,3,0,1,10844.0,1655,5,21,0,1,0,20,23,0,35
4,2,1,2,15318.0,505,6,3,1,1,1,20,4,0,25
1,2,1,1,5117.0,1255,4,3,0,0,0,12,9,30,25
3,2,1,1,6147.0,290,6,24,1,0,2,15,20,10,0
6,2,1,1,7005.0,490,6,9,1,0,1,12,21,50,0
8,3,0,0,3873.0,140,4,3,0,3,2,22,0,20,40
4,2,1,2,9270.0,1465,3,21,0,1,0,18,18,25,50
2,0,2,0,3898.0,170,6,27,1,2,2,11,14,40,30
4,3,0,1,14781.0,740,5,12,0,2,0,8,20,25,45
4,3,0,1,8586.0,735,5,24,0,1,0,20,8,0,15
1,3,0,2,10697.0,1415,5,9,0,2,0,8,7,20,55
4,2,1,2,14300.0,995,6,27,1,1,0,20,12,0,35
3,0,5,0,8855.0,170,3,3,0,1,2,18,21,55,45
4,3,0,1,10844.0,1545,5,12,0,0,0,16,18,30,15
4,2,1,1,17024.0,1570,3,6,0,3,0,2,4,15,25
4,3,0,1,9314.0,1730,5,1,0,2,0,9,14,35,25
3,0,5,0,4777.0,165,3,24,0,3,2,0,3,40,25
1,3,0,1,7662.0,1515,6,9,1,0,0,12,13,0,15
3,2,1,1,6442.0,560,5,9,0,2,1,6,16,50,10
8,2,1,1,5264.0,270,6,12,1,2,2,8,13,45,15
4,2,1,1,12898.0,925,5,27,0,0,0,13,4,0,25
1,4,3,0,6092.0,90,3,3,0,0,2,13,15,55,25
8,0,2,0,3311.0,160,5,21,0,3,2,5,8,55,35
4,2,1,1,6540.0,550,3,27,0,1,1,19,4,15,25
3,0,2,0,3419.0,165,5,27,0,3,2,1,4,30,15
4,2,1,1,5177.0,1355,4,3,0,0,0,14,12,0,35
1,2,1,0,8246.0,185,4,18,0,1,2,18,21,5,10
4,3,0,1,14676.0,690,6,9,1,2,0,9,21,35,5
6,2,1,1,13587.0,570,6,27,1,2,1,11,21,30,0
4,3,0,1,9663.0,730,5,6,0,3,0,21,9,10,20
4,3,0,1,13044.0,1055,6,12,1,0,0,16,10,30,5
3,2,1,1,5073.0,305,4,3,0,1,1,20,1,25,30
10,3,0,1,9345.0,1550,5,21,0,0,0,17,18,0,50
4,3,0,1,9663.0,1200,5,6,0,0,0,14,10,5,5
6,2,1,1,14277.0,780,5,21,0,2,0,8,21,0,0
4,2,1,1,10262.0,1105,6,1,1,2,0,10,4,0,25
4,4,3,0,5678.0,90,3,27,0,1,2,19,21,35,5
6,2,1,1,13727.0,570,5,15,0,0,1,16,1,0,30
4,3,0,1,9663.0,960,5,6,0,1,0,20,12,0,0
3,1,4,0,3858.0,140,5,12,0,0,2,14,17,45,5
8,2,1,1,4812.0,270,6,24,1,2,2,8,13,45,15
3,2,1,1,5775.0,345,6,27,1,3,1,21,3,50,35
4,3,0,1,10539.0,1450,6,6,1,2,0,9,9,35,45
3,3,0,0,4804.0,155,6,3,1,0,2,15,18,30,5
0,0,2,0,3383.0,165,6,12,1,2,2,11,13,10,55
3,0,5,1,8738.0,295,3,3,0,0,2,12,17,10,5
1,2,1,1,7165.0,1535,3,27,0,3,0,5,6,15,50
3,2,1,1,6412.0,380,6,24,1,0,1,16,22,10,30
4,0,2,0,8016.0,185,6,27,1,1,2,18,22,55,0
4,0,5,1,11087.0,1120,3,12,0,1,0,20,15,35,15
8,1,4,0,3543.0,135,6,27,1,2,2,9,12,45,0
4,3,0,1,12471.0,730,6,12,1,0,0,16,4,30,40
4,2,1,1,10262.0,1165,6,24,1,2,0,9,4,0,25
1,0,5,0,4441.0,170,3,18,0,0,2,13,16,20,10
6,2,1,1,12537.0,505,3,27,0,2,1,7,15,5,30
2,3,0,1,10091.0,555,3,24,0,3,1,22,7,25,40
1,0,2,0,6961.0,170,6,3,1,3,2,21,23,5,55
3,2,1,0,5013.0,195,4,24,0,3,2,5,8,35,50
1,2,1,0,6934.0,170,5,18,0,3,2,5,8,10,0
6,2,1,1,10877.0,740,6,3,1,2,0,6,19,40,0
4,0,2,0,7229.0,175,4,18,0,0,2,15,18,15,10
3,2,1,1,7048.0,575,3,27,0,0,1,16,1,0,35
10,0,2,0,4878.0,155,6,27,1,0,2,17,19,0,35
4,3,0,1,10844.0,570,5,21,0,0,1,14,23,5,35
4,2,1,2,15129.0,1760,5,18,0,3,0,23,4,5,25
3,0,2,0,3943.0,175,5,12,0,3,2,0,3,30,25
8,2,1,1,5583.0,315,6,6,1,2,1,6,11,5,20
6,2,1,1,9646.0,545,6,6,1,2,1,7,16,5,10
6,2,1,1,7677.0,645,6,3,1,2,0,8,19,30,15
3,2,1,1,6842.0,295,6,1,1,3,2,5,10,10,5
4,4,3,0,4995.0,90,6,24,1,2,2,8,10,45,15
10,3,0,1,9555.0,700,6,9,1,2,0,7,18,10,50
3,0,2,0,4077.0,165,6,1,1,3,2,1,4,30,15
4,0,2,0,7229.0,175,5,12,0,0,2,15,18,15,10
6,2,1,1,12192.0,600,6,9,1,2,1,9,19,0,0
1,0,2,0,5911.0,165,4,12,0,2,2,10,12,0,45
1,2,1,1,8372.0,615,6,12,1,2,0,9,19,0,15
4,4,3,0,4995.0,85,3,18,0,2,2,7,8,10,35
6,2,1,1,14323.0,555,5,9,0,2,1,10,19,0,15
4,2,1,2,13014.0,1375,6,9,1,3,0,5,4,30,25
1,2,1,2,13591.0,1730,6,6,1,0,0,14,19,25,15
4,2,1,2,18799.0,2245,3,3,0,3,0,5,18,25,50
3,0,2,0,3943.0,170,4,27,0,3,2,23,2,30,20
8,4,3,0,1965.0,90,5,21,0,3,2,5,7,45,15
4,4,3,0,4995.0,90,5,27,0,2,2,10,11,20,50
1,3,0,1,14641.0,1540,3,24,0,0,0,16,18,50,30
1,3,0,0,4460.0,155,4,12,0,1,2,20,23,45,20
1,2,1,1,10191.0,375,5,18,0,0,1,13,19,0,15
4,2,1,1,13843.0,1050,3,9,0,3,0,2,19,15,45
3,2,1,1,6349.0,345,5,1,0,3,1,21,3,50,35
0,3,0,0,4409.0,155,5,1,0,2,2,10,12,20,55
4,2,1,1,17024.0,1530,3,6,0,1,0,18,19,15,45
6,2,1,1,13727.0,835,5,18,0,2,0,7,21,5,0
3,0,5,0,8855.0,175,3,15,0,1,2,18,21,25,20
6,2,1,1,12524.0,615,6,24,1,2,0,8,19,45,0
4,0,5,1,13555.0,520,3,18,0,2,1,11,20,40,20
4,3,0,1,10844.0,330,6,6,1,2,1,6,12,30,0
6,2,1,1,13587.0,720,6,9,1,2,0,9,21,0,0
8,1,4,0,3543.0,135,6,12,1,2,2,9,12,45,0
10,1,4,0,4842.0,135,3,18,0,2,2,7,9,5,20
3,0,2,0,3943.0,170,4,24,0,3,2,23,2,30,20
4,2,1,1,10577.0,550,6,9,1,1,1,19,4,15,25
3,2,1,1,6979.0,625,5,15,0,2,0,10,21,35,0
10,1,4,0,11982.0,140,6,27,1,0,2,17,20,45,5
8,2,1,1,5264.0,270,6,6,1,2,2,8,13,45,15
10,2,1,0,8001.0,190,3,3,0,2,2,6,9,0,10
1,2,1,2,10651.0,1410,6,1,1,1,0,19,19,45,15
4,3,0,1,10844.0,1640,5,24,0,0,0,16,19,30,50
6,2,1,1,6601.0,755,3,27,0,2,0,9,22,45,20
1,2,1,1,6587.0,1455,3,21,0,1,0,19,19,0,15
8,4,3,0,3173.0,80,3,21,0,0,2,13,14,10,30
1,0,2,0,5228.0,165,5,9,0,2,2,10,12,0,45
4,0,2,0,5769.0,180,6,21,1,2,2,7,10,10,10
4,2,1,1,14714.0,660,6,6,1,2,0,8,19,0,0
4,2,1,2,13014.0,810,6,3,1,3,0,5,19,30,0
3,0,2,0,3359.0,170,6,3,1,3,2,22,1,10,0
2,0,5,0,6722.0,175,3,3,0,1,2,20,23,55,50
3,3,0,0,4462.0,165,3,18,0,2,2,9,12,35,20
3,2,1,1,6171.0,675,3,9,0,3,0,4,16,55,10
1,3,0,2,12303.0,875,5,21,0,3,0,5,20,50,25
6,2,1,1,7695.0,835,3,21,0,2,0,11,1,40,35
3,2,1,1,5684.0,845,6,24,1,2,0,11,1,25,30
1,3,0,1,8366.0,905,6,12,1,0,0,16,7,50,55
1,1,4,0,19630.0,135,3,1,0,2,2,11,13,40,55
4,0,5,1,13502.0,900,3,6,0,0,0,14,5,5,5
4,3,0,1,14781.0,775,5,1,0,3,0,21,10,10,5
6,2,1,1,6513.0,540,6,12,1,2,1,7,16,10,10
1,2,1,1,9929.0,735,6,1,1,2,0,7,19,0,15
6,2,1,2,18275.0,460,6,6,1,0,1,17,1,50,30
1,2,1,1,4487.0,1640,4,9,0,2,0,6,9,5,25
3,4,3,0,2754.0,85,3,15,0,3,2,21,22,20,45
1,4,3,0,2575.0,80,3,27,0,2,2,6,7,20,40
8,3,0,1,8224.0,330,6,12,1,0,1,15,21,55,25
1,2,1,1,8991.0,705,3,9,0,1,0,20,8,30,15
3,2,1,0,5000.0,195,6,24,1,3,2,5,8,35,50
4,3,0,1,8529.0,1495,6,12,1,1,0,18,19,55,50
1,2,1,1,14042.0,1640,3,3,0,2,0,6,9,5,25
4,0,2,0,4030.0,175,5,24,0,2,2,11,14,10,5
4,3,0,1,10844.0,1025,6,6,1,1,0,18,12,55,0
3,3,0,0,4804.0,160,5,6,0,3,2,21,0,25,5
6,2,1,1,7308.0,480,5,27,0,0,1,17,1,30,30
3,0,2,0,4823.0,180,5,12,0,0,2,16,19,55,55
4,2,1,1,10262.0,1655,6,24,1,2,0,9,12,0,35
4,2,1,1,12898.0,450,5,27,0,1,1,20,4,55,25
1,0,5,2,12778.0,1375,3,12,0,0,0,17,16,25,20
3,2,1,1,14871.0,515,3,3,0,3,1,4,13,45,20
1,2,1,2,8708.0,1795,3,21,0,0,0,13,19,20,15
4,3,0,1,10844.0,1335,6,6,1,1,0,20,18,0,15
8,4,3,0,4129.0,80,3,6,0,3,2,5,7,45,5
3,3,0,0,4804.0,160,5,18,0,3,2,21,0,25,5
4,0,2,0,7229.0,180,5,6,0,2,2,8,11,20,20
4,0,5,1,7832.0,730,3,21,0,2,0,7,19,0,10
8,1,4,0,3859.0,155,3,18,0,2,2,9,12,30,5
6,2,1,1,9001.0,705,6,6,1,2,0,7,19,30,15
10,0,2,0,4878.0,155,5,9,0,0,2,17,19,0,35
3,4,3,0,2754.0,90,5,3,0,3,2,2,4,35,5
10,0,2,0,4668.0,160,6,27,1,2,2,7,9,0,40
0,3,0,0,5216.0,155,5,12,0,2,2,10,12,20,55
4,2,1,2,10368.0,1375,6,6,1,3,0,5,4,30,25
3,2,1,2,8146.0,880,3,9,0,2,0,6,21,40,20
4,2,1,1,12242.0,925,3,27,0,0,0,13,4,0,25
4,0,5,1,9134.0,435,3,15,0,2,1,8,15,0,15
1,2,1,2,10939.0,1210,6,6,1,0,0,13,9,15,25
1,2,1,2,11753.0,1245,6,6,1,2,0,10,7,55,40
8,3,0,0,4174.0,150,4,24,0,0,2,17,19,10,40
4,3,0,1,10844.0,1430,5,21,0,1,0,20,19,0,50
4,2,1,1,14714.0,1620,6,3,1,0,0,16,19,0,0
4,3,0,1,9899.0,330,6,12,1,2,1,6,12,30,0
3,2,1,1,14871.0,710,3,3,0,2,0,9,21,10,0
3,1,4,0,7295.0,135,3,6,0,0,2,13,15,20,35
1,2,1,2,13465.0,1470,6,6,1,1,0,18,19,45,15
8,1,4,0,3543.0,140,5,21,0,0,2,17,20,45,5
6,2,1,1,7198.0,390,6,27,1,1,1,19,1,0,30
4,2,1,1,10262.0,1225,6,1,1,2,0,8,4,0,25
3,3,0,0,4148.0,155,3,15,0,0,2,15,17,20,55
4,0,2,0,8016.0,175,6,27,1,0,2,15,18,15,10
4,2,1,1,10262.0,335,6,9,1,3,1,22,4,50,25
8,3,0,0,3841.0,150,6,15,1,0,2,14,17,55,25
4,0,5,1,11507.0,885,3,12,0,2,0,9,0,45,30
4,3,0,1,14781.0,740,5,1,0,2,0,8,20,25,45
4,2,1,1,16079.0,1530,5,27,0,0,0,17,19,30,0
4,2,1,1,12898.0,335,5,27,0,3,1,22,4,50,25
6,2,1,1,15353.0,705,3,6,0,2,0,7,19,30,15
3,0,5,0,7303.0,175,3,24,0,1,2,18,21,25,20
8,3,0,1,6197.0,340,3,24,0,0,1,15,20,5,45
1,3,0,1,8996.0,245,6,9,1,2,2,9,13,10,15
3,2,1,1,6528.0,480,3,21,0,0,1,14,22,20,20
2,0,2,0,4239.0,165,4,9,0,1,2,20,23,55,40
3,3,0,0,4148.0,160,3,12,0,1,2,20,23,25,5
8,0,2,0,3971.0,175,5,24,0,3,2,21,0,10,5
0,3,0,1,5192.0,955,5,6,0,2,0,7,23,35,30
4,2,1,2,9483.0,1390,4,9,0,0,0,13,12,25,35
4,2,1,2,18804.0,440,6,3,1,2,1,11,19,40,0
1,2,1,0,5201.0,170,6,18,1,3,2,5,8,10,0
4,2,1,1,16079.0,450,5,27,0,2,1,11,19,30,0
4,0,2,0,7229.0,180,6,15,1,1,2,19,22,50,50
6,2,1,1,6795.0,465,5,27,0,0,1,17,1,45,30
4,3,0,1,10953.0,1520,5,9,0,2,0,9,10,35,55
6,2,1,2,15965.0,625,6,24,1,0,0,15,1,5,30
1,2,1,2,9968.0,1820,4,9,0,0,0,12,19,55,15
3,3,0,0,4804.0,155,6,6,1,3,2,22,0,15,50
4,2,1,1,16079.0,540,5,27,0,2,1,10,19,0,0
4,2,1,2,11507.0,910,6,12,1,3,0,21,12,25,35
1,3,0,2,11542.0,1700,6,9,1,2,0,9,13,25,45
4,0,2,0,7229.0,180,4,24,0,0,2,17,20,45,45
4,0,2,0,4544.0,165,4,27,0,2,2,6,8,0,45
3,2,1,1,6496.0,295,5,15,0,3,2,5,10,10,5
3,3,0,0,4804.0,160,6,15,1,3,2,21,0,25,5
1,0,5,1,13439.0,1330,3,1,0,2,0,11,9,5,15
4,2,1,1,6540.0,610,3,27,0,1,0,18,4,15,25
3,0,2,0,4591.0,170,6,1,1,3,2,23,2,30,20
3,0,5,1,4437.0,260,3,18,0,0,2,16,20,15,35
0,2,1,1,6151.0,660,3,21,0,1,0,20,7,10,10
4,0,2,0,7754.0,180,6,21,1,0,2,17,20,45,45
4,2,1,1,10262.0,1355,6,24,1,0,0,14,12,0,35
4,0,2,0,8016.0,185,6,9,1,1,2,18,22,55,0
8,3,0,0,4781.0,160,3,24,0,2,2,6,9,55,35
10,0,2,0,4668.0,170,6,27,1,2,2,11,14,30,20
1,0,5,1,14594.0,1265,3,6,0,2,0,11,8,50,55
4,3,0,1,14231.0,710,3,24,0,0,0,16,4,55,45
1,2,1,1,8425.0,1535,5,15,0,3,0,5,6,15,50
6,2,1,1,9646.0,925,6,12,1,2,0,7,22,5,30
3,1,4,0,7295.0,145,3,3,0,0,2,14,17,40,5
0,3,0,1,5162.0,220,4,9,0,2,2,6,10,50,30
3,0,5,0,6860.0,175,3,9,0,1,2,18,21,25,20
10,2,1,0,6216.0,190,4,15,0,2,2,6,9,0,10
0,3,0,1,5192.0,710,5,24,0,2,0,7,19,35,25
3,0,2,0,4823.0,170,4,9,0,1,2,20,22,0,50
8,0,2,0,3919.0,170,4,3,0,2,2,9,12,30,20
3,4,3,0,2754.0,90,6,3,1,1,2,19,20,5,35
6,2,1,1,9315.0,690,5,9,0,2,0,7,19,30,0
6,2,1,1,11667.0,530,3,27,0,2,1,10,18,0,50
4,3,0,1,6224.0,1215,6,12,1,2,0,8,4,25,40
1,3,0,2,13349.0,1210,3,24,0,2,0,9,5,25,35
4,0,5,1,11087.0,965,3,18,0,0,0,16,9,55,0
6,2,1,1,15603.0,755,3,6,0,0,0,13,1,0,35
4,2,1,2,15129.0,1025,5,9,0,1,0,19,12,30,35
3,0,2,0,4823.0,180,4,9,0,0,2,16,19,55,55
10,3,0,1,8452.0,930,5,1,0,2,0,7,22,10,40
6,2,1,1,12524.0,690,6,6,1,2,0,7,19,30,0
8,1,4,0,3384.0,140,3,27,0,0,2,17,20,45,5
4,2,1,1,10262.0,1425,6,1,1,1,0,19,19,15,0
8,4,3,0,1965.0,90,6,18,1,0,2,13,14,15,45
3,3,0,0,4804.0,155,5,18,0,3,2,22,0,15,50
4,2,1,1,16079.0,1485,5,27,0,1,0,18,19,15,0
4,2,1,2,13292.0,1295,6,1,1,3,0,21,19,25,0
0,2,1,1,6751.0,330,5,9,0,2,1,7,13,55,25
1,2,1,1,8669.0,735,5,15,0,2,0,7,19,0,15
3,2,1,1,14871.0,485,3,3,0,0,1,17,1,30,35
4,2,1,1,12898.0,300,5,21,0,0,2,14,19,0,0
8,0,2,0,3919.0,170,6,6,1,2,2,9,12,30,20
6,2,1,1,36983.0,385,3,1,0,0,1,12,19,50,15
3,1,4,0,3597.0,140,6,3,1,1,2,19,21,35,55
1,0,5,0,10741.0,165,3,9,0,0,2,17,19,0,45
1,3,0,2,11432.0,765,6,6,1,0,0,16,5,50,35
4,0,5,1,11087.0,950,3,12,0,1,0,18,10,55,45
4,2,1,2,13292.0,1620,6,3,1,2,0,9,12,35,35
1,2,1,3,10493.0,1585,6,15,1,3,0,5,7,15,40
2,0,5,0,7631.0,175,3,9,0,2,2,7,10,45,40
1,2,1,2,13381.0,1490,6,6,1,2,0,6,7,50,40
4,3,0,1,13731.0,520,6,6,1,1,1,20,4,0,40
1,2,1,2,11911.0,1545,5,21,0,3,0,5,7,55,40
3,0,2,0,4591.0,170,4,18,0,3,2,23,2,30,20
6,2,1,1,14848.0,375,6,3,1,0,1,13,19,0,15
6,2,1,1,8266.0,630,6,12,1,2,0,8,19,45,15
1,2,1,2,12392.0,1560,5,18,0,0,0,17,19,15,15
4,3,0,1,13044.0,1025,6,12,1,1,0,18,12,55,0
4,2,1,1,12898.0,1280,5,21,0,2,0,7,4,5,25
4,2,1,1,12242.0,335,3,21,0,3,1,22,4,50,25
3,0,2,0,3943.0,170,5,18,0,2,2,10,13,10,0
